Species,Species_ID,Edible,Measure_Type,Length,Weight
Albacore (M&F),533.0,True,Fork length,25.0,0.5
Albacore (M&F),533.0,True,Fork length,26.0,0.5
Albacore (M&F),533.0,True,Fork length,27.0,0.6
Albacore (M&F),533.0,True,Fork length,28.0,0.7
Albacore (M&F),533.0,True,Fork length,29.0,0.8
Albacore (M&F),533.0,True,Fork length,30.0,0.9
Albacore (M&F),533.0,True,Fork length,31.0,1.0
Albacore (M&F),533.0,True,Fork length,32.0,1.1
Albacore (M&F),533.0,True,Fork length,33.0,1.2
Albacore (M&F),533.0,True,Fork length,34.0,1.3
Albacore (M&F),533.0,True,Fork length,35.0,1.4
Albacore (M&F),533.0,True,Fork length,36.0,1.6
Albacore (M&F),533.0,True,Fork length,37.0,1.7
Albacore (M&F),533.0,True,Fork length,38.0,1.9
Albacore (M&F),533.0,True,Fork length,39.0,2.0
Albacore (M&F),533.0,True,Fork length,40.0,2.2
Albacore (M&F),533.0,True,Fork length,41.0,2.4
Albacore (M&F),533.0,True,Fork length,42.0,2.6
Albacore (M&F),533.0,True,Fork length,43.0,2.8
Albacore (M&F),533.0,True,Fork length,44.0,3.0
Albacore (M&F),533.0,True,Fork length,45.0,3.2
Albacore (M&F),533.0,True,Fork length,46.0,3.5
Albacore (M&F),533.0,True,Fork length,47.0,3.7
Albacore (M&F),533.0,True,Fork length,48.0,4.0
Albacore (M&F),533.0,True,Fork length,49.0,4.3
Albacore (M&F),533.0,True,Fork length,50.0,4.6
Albacore (M&F),533.0,True,Fork length,51.0,4.9
Albacore (M&F),533.0,True,Fork length,52.0,5.2
Albacore (M&F),533.0,True,Fork length,53.0,5.5
Albacore (M&F),533.0,True,Fork length,54.0,5.9
Albacore (M&F),533.0,True,Fork length,55.0,6.3
Albacore (M&F),533.0,True,Fork length,56.0,6.6
Albacore (M&F),533.0,True,Fork length,57.0,7.0
Albacore (M&F),533.0,True,Fork length,58.0,7.4
Albacore (M&F),533.0,True,Fork length,59.0,7.9
Albacore (M&F),533.0,True,Fork length,60.0,8.3
Albacore (M&F),533.0,True,Fork length,61.0,8.8
Albacore (M&F),533.0,True,Fork length,62.0,9.3
